code,publication_date
43007,2014-05-12 00:00:00.000000000
26021,2014-05-12 00:00:00.000000000
64100,2014-05-12 00:00:00.000000000
26035,2014-05-12 00:00:00.000000000
29013,2014-05-12 00:00:00.000000000
26065,2014-05-12 00:00:00.000000000
16097,2014-05-12 00:00:00.000000000
61120,2014-05-12 00:00:00.000000000
26128,2014-05-12 00:00:00.000000000
26137,2014-05-12 00:00:00.000000000
26144,2014-05-12 00:00:00.000000000
51231,2014-05-12 00:00:00.000000000
04062,2014-05-12 00:00:00.000000000
26277,2014-05-12 00:00:00.000000000
26020,2014-05-12 00:00:00.000000000
04102,2014-05-12 00:00:00.000000000
26165,2014-05-12 00:00:00.000000000
26166,2014-05-12 00:00:00.000000000
12144,2014-05-12 00:00:00.000000000
26185,2014-05-12 00:00:00.000000000
26195,2014-05-12 00:00:00.000000000
26200,2014-05-12 00:00:00.000000000
61263,2014-05-12 00:00:00.000000000
04161,2014-05-12 00:00:00.000000000
26240,2014-05-12 00:00:00.000000000
77373,2014-05-12 00:00:00.000000000
40164,2014-05-12 00:00:00.000000000
26285,2014-05-12 00:00:00.000000000
61371,2014-05-12 00:00:00.000000000
19210,2014-05-12 00:00:00.000000000
26216,2014-05-12 00:00:00.000000000
43203,2014-05-12 00:00:00.000000000
61442,2014-05-12 00:00:00.000000000
04193,2014-05-12 00:00:00.000000000
51509,2014-05-12 00:00:00.000000000
26336,2014-05-12 00:00:00.000000000
57017,2014-09-30 00:00:00.000000000
57031,2014-09-30 00:00:00.000000000
57032,2014-09-30 00:00:00.000000000
57140,2014-09-30 00:00:00.000000000
57142,2014-09-30 00:00:00.000000000
57134,2014-09-30 00:00:00.000000000
57146,2014-09-30 00:00:00.000000000
57147,2014-09-30 00:00:00.000000000
57156,2014-09-30 00:00:00.000000000
57162,2014-09-30 00:00:00.000000000
57212,2014-09-30 00:00:00.000000000
57256,2014-09-30 00:00:00.000000000
57351,2014-09-30 00:00:00.000000000
57385,2014-09-30 00:00:00.000000000
57049,2014-09-30 00:00:00.000000000
57396,2014-09-30 00:00:00.000000000
57412,2014-09-30 00:00:00.000000000
57415,2014-09-30 00:00:00.000000000
57445,2014-09-30 00:00:00.000000000
57447,2014-09-30 00:00:00.000000000
57463,2014-09-30 00:00:00.000000000
57467,2014-09-30 00:00:00.000000000
57480,2014-09-30 00:00:00.000000000
57487,2014-09-30 00:00:00.000000000
57454,2014-09-30 00:00:00.000000000
57510,2014-09-30 00:00:00.000000000
57511,2014-09-30 00:00:00.000000000
57512,2014-09-30 00:00:00.000000000
57534,2014-09-30 00:00:00.000000000
57545,2014-09-30 00:00:00.000000000
57553,2014-09-30 00:00:00.000000000
57593,2014-09-30 00:00:00.000000000
57616,2014-09-30 00:00:00.000000000
57622,2014-09-30 00:00:00.000000000
57624,2014-09-30 00:00:00.000000000
57634,2014-09-30 00:00:00.000000000
57642,2014-09-30 00:00:00.000000000
57693,2014-09-30 00:00:00.000000000
57694,2014-09-30 00:00:00.000000000
57707,2014-09-30 00:00:00.000000000
57751,2014-09-30 00:00:00.000000000
56030,2014-11-19 00:00:00.000000000
31352,2015-04-07 00:00:00.000000000
26213,2016-05-02 00:00:00.000000000
84027,2016-08-11 00:00:00.000000000
31445,2016-09-13 00:00:00.000000000
31418,2016-10-24 00:00:00.000000000
31053,2017-01-10 00:00:00.000000000
38185,2017-01-10 00:00:00.000000000
31355,2017-02-28 00:00:00.000000000
06009,2017-06-12 00:00:00.000000000
06011,2017-06-12 00:00:00.000000000
06013,2017-06-12 00:00:00.000000000
06027,2017-06-12 00:00:00.000000000
06033,2017-06-12 00:00:00.000000000
06034,2017-06-12 00:00:00.000000000
06042,2017-06-12 00:00:00.000000000
06046,2017-06-12 00:00:00.000000000
06055,2017-06-12 00:00:00.000000000
06060,2017-06-12 00:00:00.000000000
06064,2017-06-12 00:00:00.000000000
06066,2017-06-12 00:00:00.000000000
06073,2017-06-12 00:00:00.000000000
06020,2017-06-12 00:00:00.000000000
06109,2017-06-12 00:00:00.000000000
06074,2017-06-12 00:00:00.000000000
06025,2017-06-12 00:00:00.000000000
06075,2017-06-12 00:00:00.000000000
06080,2017-06-12 00:00:00.000000000
06088,2017-06-12 00:00:00.000000000
06102,2017-06-12 00:00:00.000000000
06103,2017-06-12 00:00:00.000000000
06111,2017-06-12 00:00:00.000000000
06114,2017-06-12 00:00:00.000000000
06119,2017-06-12 00:00:00.000000000
06121,2017-06-12 00:00:00.000000000
06123,2017-06-12 00:00:00.000000000
06127,2017-06-12 00:00:00.000000000
06126,2017-06-12 00:00:00.000000000
06129,2017-06-12 00:00:00.000000000
06120,2017-06-12 00:00:00.000000000
06146,2017-06-12 00:00:00.000000000
06147,2017-06-12 00:00:00.000000000
06151,2017-06-12 00:00:00.000000000
06153,2017-06-12 00:00:00.000000000
06159,2017-06-12 00:00:00.000000000
06059,2017-06-12 00:00:00.000000000
29110,2017-06-20 00:00:00.000000000
29106,2017-06-29 00:00:00.000000000
75101,2017-07-02 00:00:00.000000000
75102,2017-07-02 00:00:00.000000000
75103,2017-07-02 00:00:00.000000000
75104,2017-07-02 00:00:00.000000000
75105,2017-07-02 00:00:00.000000000
75106,2017-07-02 00:00:00.000000000
75107,2017-07-02 00:00:00.000000000
75108,2017-07-02 00:00:00.000000000
75109,2017-07-02 00:00:00.000000000
75110,2017-07-02 00:00:00.000000000
75111,2017-07-02 00:00:00.000000000
75112,2017-07-02 00:00:00.000000000
75113,2017-07-02 00:00:00.000000000
75114,2017-07-02 00:00:00.000000000
75115,2017-07-02 00:00:00.000000000
75116,2017-07-02 00:00:00.000000000
75118,2017-07-02 00:00:00.000000000
75120,2017-07-02 00:00:00.000000000
75117,2017-07-02 00:00:00.000000000
75119,2017-07-02 00:00:00.000000000
33003,2017-11-08 00:00:00.000000000
33004,2017-11-08 00:00:00.000000000
33013,2017-11-08 00:00:00.000000000
33056,2017-11-08 00:00:00.000000000
33063,2017-11-08 00:00:00.000000000
33065,2017-11-08 00:00:00.000000000
33075,2017-11-08 00:00:00.000000000
33039,2017-11-08 00:00:00.000000000
33096,2017-11-08 00:00:00.000000000
33119,2017-11-08 00:00:00.000000000
33162,2017-11-08 00:00:00.000000000
33167,2017-11-08 00:00:00.000000000
33192,2017-11-08 00:00:00.000000000
33069,2017-11-08 00:00:00.000000000
33200,2017-11-08 00:00:00.000000000
33519,2017-11-08 00:00:00.000000000
33249,2017-11-08 00:00:00.000000000
33273,2017-11-08 00:00:00.000000000
